Date,Observe,Train,Test,Valid
2001-03-04,969.3299999999999,838.8338623046875,,
2001-03-11,965.1433333333334,894.8307495117188,,
2001-03-18,954.074,889.9639892578125,,
2001-03-25,997.4699999999999,870.7802734375,,
2001-04-01,629.8340000000001,920.304443359375,,
2001-04-08,797.5020000000001,525.5176391601562,,
2001-04-15,1064.248,764.2371826171875,,
2001-04-22,636.4183333333334,1080.2939453125,,
2001-04-29,994.3650000000001,545.322265625,,
2001-05-06,1061.435,1002.5869140625,,
2001-05-13,935.4699999999999,1010.5377197265625,,
2001-05-20,1259.915,860.51318359375,,
2001-05-27,1480.466666666667,1339.5972900390625,,
2001-06-03,1845.6825,1423.2479248046875,,
2001-06-10,2535.55,1861.904052734375,,
2001-06-17,4288.23,2617.34326171875,,
2001-06-24,4346.25,4399.265625,,
2001-07-01,6100.04,4350.59521484375,,
2001-07-08,8881.975,6199.48876953125,,
2001-07-15,11663.91,9209.0654296875,,
2001-07-22,18959.93,11883.7109375,,
2001-07-29,35127.75,19844.265625,,
2001-08-05,39868.76,36702.2890625,,
2001-08-12,42896.52,40278.5078125,,
2001-08-19,31532.66,42781.82421875,,
2001-08-26,22085.94,30432.236328125,,
2001-09-02,47829.479999999996,20878.4765625,,
2001-09-09,41922.66,52729.35546875,,
2001-09-16,42145.49,42365.10546875,,
2001-09-23,41779.16,40219.796875,,
2001-09-30,26501.65,39790.70703125,,
2001-10-07,18723.93,20014.935546875,,
2001-10-14,30240.8,19890.912109375,,
2001-10-21,28491.05,31194.826171875,,
2001-10-28,17778.85,26373.546875,,
2001-11-04,10576.43,14803.8349609375,,
2001-11-11,8425.86,6349.20166015625,,
2001-11-18,6373.33,4567.30419921875,,
2001-11-25,5573.83,6551.86572265625,,
2001-12-02,4527.463333333334,5304.498046875,,
2001-12-09,3858.373333333333,1923.72119140625,,
2001-12-16,3370.4375,1226.4736328125,,
2001-12-23,2789.6225,2105.88134765625,,
2001-12-30,2448.6580000000004,1952.193115234375,,
2002-01-06,2190.115,1917.5950927734375,,
2002-01-13,1863.363333333333,1763.3514404296875,,
2002-01-20,1698.0333333333335,1487.5469970703125,,
2002-01-27,1590.4483333333335,1427.3428955078125,,
2002-02-03,1606.1516666666666,1344.970947265625,,
2002-02-10,1590.908333333333,1412.426025390625,,
2002-02-17,1490.8533333333335,1445.620849609375,,
2002-02-24,1502.2475,1332.12451171875,,
2002-03-03,1523.4783333333332,1385.97412109375,,
2002-03-10,1417.6916666666666,1436.4364013671875,,
2002-03-17,1173.9640000000002,1338.95361328125,,
2002-03-24,1034.0733333333333,1089.6016845703125,,
2002-03-31,994.9975000000001,945.1685791015625,,
2002-04-07,1065.0420000000001,935.2376098632812,,
2002-04-14,1389.1850000000002,1026.0374755859375,,
2002-04-21,1145.1283333333333,1363.2366943359375,,
2002-04-28,1225.9950000000001,1032.95751953125,,
2002-05-05,1299.6680000000001,1135.2178955078125,,
2002-05-12,1267.6783333333333,1271.03076171875,,
2002-05-19,1415.8950000000002,1214.1220703125,,
2002-05-26,1620.5125,1453.7113037109375,,
2002-06-02,2699.2875,1583.460205078125,,
2002-06-09,2750.0,2751.332763671875,,
2002-06-16,2558.0,2741.61865234375,,
2002-06-23,2570.0,2436.9814453125,,
2002-06-30,6264.0,2549.515869140625,,
2002-07-07,6758.0,6585.931640625,,
2002-07-14,16339.0,6975.962890625,,
2002-07-21,19157.0,17127.53125,,
2002-07-28,16617.0,19531.501953125,,
2002-08-04,39750.0,15657.4052734375,,
2002-08-11,40054.31,42490.1015625,,
2002-08-18,38207.155,40348.671875,,
2002-08-25,36360.0,37805.58984375,,
2002-09-01,40980.0,37183.79296875,,
2002-09-08,30385.235,39483.15234375,,
2002-09-15,19790.47,31797.578125,,
2002-09-22,32840.11,18553.85546875,,
2002-09-29,28538.54,32713.654296875,,
2002-10-06,29325.25,26388.798828125,,
2002-10-13,17129.52,27901.798828125,,
2002-10-20,11611.16,13996.0732421875,,
2002-10-27,9429.7,6440.02587890625,,
2002-11-03,7560.54,10074.7216796875,,
2002-11-10,633.42,6363.12255859375,,
2002-11-17,5491.62,-994.13818359375,,
2002-11-24,3821.06,3243.8837890625,,
2002-12-01,3689.0550000000003,1651.38134765625,,
2002-12-08,3439.9325,2104.382080078125,,
2002-12-15,3190.81,3076.33447265625,,
2002-12-22,2334.69,1459.000244140625,,
2002-12-29,1957.95,2439.37646484375,,
2003-01-05,1704.75,1846.0242919921875,,
2003-01-12,1420.17,1411.3275146484375,,
2003-01-19,1399.19,1203.38916015625,,
2003-01-26,1306.1425,1241.5,,
2003-02-02,1213.095,1052.565673828125,,
2003-02-09,1209.87,994.3831787109375,,
2003-02-16,1255.84,1083.0731201171875,,
2003-02-23,1301.81,1138.39990234375,,
2003-03-02,1308.02,1231.1875,,
2003-03-09,1422.91,1244.7705078125,,
2003-03-16,1205.75,1364.902587890625,,
2003-03-23,988.59,1132.5906982421875,,
2003-03-30,985.18,917.5562133789062,,
2003-04-06,1074.47,958.2694702148438,,
2003-04-13,1066.3,1041.4739990234375,,
2003-04-20,898.7,1041.8797607421875,,
2003-04-27,920.945,812.950439453125,,
2003-05-04,943.19,830.7322998046875,,
2003-05-11,1260.12,897.6885986328125,,
2003-05-18,1420.12,1266.8304443359375,,
2003-05-25,1374.91,1417.43408203125,,
2003-06-01,1389.05,1295.0687255859375,,
2003-06-08,1762.64,1346.3780517578125,,
2003-06-15,1745.53,1765.065185546875,,
2003-06-22,2867.38,1755.9993896484375,,
2003-06-29,4519.39,2966.606201171875,,
2003-07-06,7188.27,4668.10498046875,,
2003-07-13,16809.93,7361.845703125,,
2003-07-20,26031.79,17773.86328125,,
2003-07-27,27146.47,26946.412109375,,
2003-08-03,27083.71,27015.314453125,,
2003-08-10,27102.27,26916.900390625,,
2003-08-17,27087.11,27108.7421875,,
2003-08-24,27063.53,27956.66015625,,
2003-08-31,42125.435,28372.173828125,,
2003-09-07,40585.68,43438.43359375,,
2003-09-14,41062.04,39621.87890625,,
2003-09-21,57252.69,39170.36328125,,
2003-09-28,57099.7,58114.05078125,,
2003-10-05,49335.47,55456.7265625,,
2003-10-12,41571.24,48793.53125,,
2003-10-19,34996.78,40146.5625,,
2003-10-26,20629.43,32019.482421875,,
2003-11-02,12503.51,19860.853515625,,
2003-11-09,12141.12,10779.501953125,,
2003-11-16,11414.45,9334.095703125,,
2003-11-23,10906.77,7909.25146484375,,
2003-11-30,6314.56,8022.84814453125,,
2003-12-07,5498.216666666667,2182.92724609375,,
2003-12-14,4773.954,2166.42626953125,,
2003-12-21,4064.2186666666666,3698.2607421875,,
2003-12-28,3354.4833333333336,3303.848388671875,,
2004-01-04,2697.67,2888.74951171875,,
2004-01-11,2404.42,1524.361572265625,,
2004-01-18,2353.27,1666.736572265625,,
2004-01-25,2223.955,1997.002197265625,,
2004-02-01,2137.25,1887.9493408203125,,
2004-02-08,2322.42,1828.7296142578125,,
2004-02-15,2271.915,2072.05615234375,,
2004-02-22,1759.2199999999998,2071.782470703125,,
2004-02-29,1629.8,1575.41552734375,,
2004-03-07,1416.2849999999999,1502.21923828125,,
2004-03-14,1191.945,1298.05078125,,
2004-03-21,1212.695,1099.3880615234375,,
2004-03-28,965.9649999999999,1158.76123046875,,
2004-04-04,1006.6433333333334,788.2110595703125,,
2004-04-11,1128.025,883.52880859375,,
2004-04-18,1141.9450000000002,1061.6973876953125,,
2004-04-25,1104.645,1036.0406494140625,,
2004-05-02,1098.395,1049.30615234375,,
2004-05-09,1104.1,1019.9243774414062,,
2004-05-16,1089.9833333333333,1053.7001953125,,
2004-05-23,932.78,1073.1402587890625,,
2004-05-30,2056.54,889.6298828125,,
2004-06-06,2412.92,2123.392578125,,
2004-06-13,2343.25,2433.57958984375,,
2004-06-20,2704.68,2245.768798828125,,
2004-06-27,2671.9,2711.423095703125,,
2004-07-04,2701.8,2571.5361328125,,
2004-07-11,9996.62,2782.774169921875,,
2004-07-18,21043.79,10807.0654296875,,
2004-07-25,37586.73,22196.412109375,,
2004-08-01,37705.75,39050.49609375,,
2004-08-08,31907.37,37530.5078125,,
2004-08-15,29975.96,30277.845703125,,
2004-08-22,29952.52,30412.724609375,,
2004-08-29,34531.71,31164.37890625,,
2004-09-05,37259.33,37301.3671875,,
2004-09-12,31778.0,37591.421875,,
2004-09-19,27977.0,28706.1484375,,
2004-09-26,22467.0,25339.751953125,,
2004-10-03,18992.0,20510.263671875,,
2004-10-10,19561.59,17854.130859375,,
2004-10-17,28409.11,19283.072265625,,
2004-10-24,15290.29,27397.73046875,,
